id,summary,updaterName,updated,State,Priority,Sprint,Category,Assignee
CMLB-5457,ProjectTemplate / При клонировании не наследуется дерево / BE,ilya.belan,1581899920937,Open,Minor,2020.3,Fixes&Improvements,ilya.belan
CMLB-5464,Jenkins / Генерация документации во время билда BE сервисов / DevOps,anatoly.karpenko,1581557633812,Fixed,Normal,2020.3,Project Documentation,anatoly.karpenko
CMLB-5473,Deploy / Сделать накатывание миграций БД опциональным / DevOps,leonid.laboshin,1581422244851,In Progress,Normal,2020.3,Technical debt,dmytro.miroshnychenko
CMLB-5525,Project / Изменить логику управления проектной командой / Specification,valerii.belopolskii,1581242122301,Open,Normal,2020.3,Project Documentation,valerii.belopolskii
CMLB-5664,Design / Header & layout,alena.kamneva,1581509908731,Open,Normal,2020.3,New feature,sveta.pershay
CMLB-5694,Ref Graph / При клонировании Simulation длинное имя DMU в Ref Graph выходит за края модального окна на кнопке и перекрывает дерево в самом графике / FE,alena.kamneva,1581324014518,Discussion,Normal,2020.3,Fixes&Improvements,skopin
CMLB-5699,Project / Автоматическое создание user group для позиций проекта с заданной ролью / Specification,valerii.belopolskii,1581242129319,Open,Normal,2020.3,Project Documentation,valerii.belopolskii
CMLB-5703,"Tree / Некорректно отображается дерево, при наличии прав доступа на ObjectType только на user directory  / BE",vladimir.panchenko,1581323817525,Open,Minor,2020.3,Fixes&Improvements,vladimir.panchenko
CMLB-5755,Loadcase Matrix / API Для выбора колонок в модальном окне / Specification,alena.kamneva,1581324014521,Open,Major,2020.3,Project Documentation,anton.lukashin
CMLB-5757,Simulation / Продакшен 2019.15 не создать симулейшен на базе существующего / FE,alexey.tikhonov,1581335134327,Discussion,Normal,2020.3,Production support,alexey.tikhonov
CMLB-5793,Queue / Новая страница очереди задач / Specification,bogdan.kozatskiy,1581945163676,Open,Normal,2020.3,Project Documentation,anton.lukashin
CMLB-5794,Values / Улучшения для дополнительных колонок / BE,alena.kamneva,1581324014520,Open,Minor,2020.3,Fixes&Improvements,skopin
CMLB-5798,DevOps / Развернуть Stage окружение новой автоматизацией. Создать джобы для обновления всех сервисов в стейдж окружении,vladimir.panchenko,1581930919018,Open,Major,2020.3,Fixes&Improvements,vladimir.panchenko
CMLB-5803,Production / Обновить версию cml-solver'a на расчетных узлах,alena.kamneva,1581324014520,Open,Critical,2020.3,Production support,skopin
CMLB-5807,ClustersManager / Task / Обработка чеклайнов  / Specification,alena.kamneva,1581576363839,Discussion,Normal,2020.3,Project Documentation,ilya.belan
CMLB-5825,Bench / Спроектировать тест-кейсы в TestLink на основании багов с приоритетом Critical / QA,nikita.knyazkin,1581934339677,Open,Normal,2020.3,Test Documentation,nikita.knyazkin
CMLB-5826,Bench / Спроектировать тест-кейсы в TestLink на основании багов с высоким приоритетом Major / QA,kirill.krasov,1581919839079,Open,Normal,2020.3,Test Documentation,kirill.krasov
CMLB-5827,Queue / Спроектировать спецификацию / QA,valerii.belopolskii,1581597461330,Open,Major,2020.3,New feature,valerii.belopolskii
CMLB-5867,License Manager / Описание подключения нового менеджера лицензий,alena.kamneva,1581324014520,Open,Minor,2020.3,Organization,skopin
CMLB-5872,Jenkins / Создание ldap аккаунта в jenkins / DevOps,leonid.laboshin,1581680730107,In Progress,Normal,2020.3,Production support,dmytro.miroshnychenko
CMLB-5884,Infrastructure / Процесс переезда прода в новую сеть / DevOps,alena.kamneva,1581509887826,Open,Normal,2020.3,Production support,skopin
CMLB-5899,User / Некорректный url системы в сообщении на почте / DevOps,ilya.belan,1581341313198,Open,Minor,2020.3,Fixes&Improvements,ilya.belan
CMLB-5910,KB /  Сделать сессии длиннее / BE,pavel.epanechkin,1581324864604,Discussion,Normal,2020.3,Fixes&Improvements,pavel.epanechkin
CMLB-5987,Loadcase / Target Values / Нечисловые Target Values,alena.kamneva,1581324014519,Open,Normal,2020.3,Fixes&Improvements,skopin
CMLB-5988,ClustersManager / File / Specification,oleg.rekin,1581946773859,Open,Normal,2020.3,Project Documentation,oleg.rekin
CMLB-6026,"Matrix / Не открывается матрица лоадкейса, имеющая вложенные лоадкейсы FE",alexey.tikhonov,1581335134328,Discussion,Normal,2020.3,New feature,alexey.tikhonov
CMLB-6032,Bench / Сбор информации по инструментам для улучшения процесса тестирования / QA,nikita.knyazkin,1581325254537,Open,Minor,2020.3,Organization,nikita.knyazkin
CMLB-6050,RemoteApp | Реализовать небольшой VueApp для отображения запущенных на remote instance приложений в iFrame,alena.kamneva,1581576363851,In Progress,Normal,2020.3,New feature,nikita.kornilov
CMLB-6051,"RemoteApp | Запустить несколько тестовых машин и процессов, настроить RDP и GL для тестирования работы с ними через клиент Bench",alena.kamneva,1581576363850,In Progress,Normal,2020.3,New feature,nikita.kornilov
CMLB-6063,Infrastructure / Перенос машин в новую сеть / DevOps,leonid.laboshin,1581508809696,Open,Major,2020.3,Production support,skopin
CMLB-6092,Queue / Спроектировать тестовую документацию на основе спецификации / QA,valerii.belopolskii,1581930678368,Open,Major,2020.3,New feature,valerii.belopolskii
